CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churned
614,France,Male,51,4,40685.92,1,Yes,Yes,46775.28,Not Churned
742,Germany,Male,35,5,136857.0,1,No,No,84509.57,Not Churned
687,Germany,Female,27,9,152328.88,2,No,No,126494.82,Not Churned
555,Spain,Male,33,1,56084.69,2,No,No,178798.13,Not Churned
684,Spain,Male,56,8,78707.16,1,Yes,Yes,99398.36,Not Churned
603,Germany,Male,26,4,109166.37,1,Yes,Yes,92840.67,Not Churned
751,Germany,Female,36,6,169831.46,2,Yes,Yes,27758.36,Not Churned
581,Germany,Female,34,1,101633.04,1,Yes,No,110431.51,Not Churned
735,Germany,Male,43,10,123180.01,2,Yes,Yes,196673.28,Not Churned
661,Germany,Female,35,5,150725.53,2,No,Yes,113656.85,Not Churned
675,France,Female,21,8,98373.26,1,Yes,No,18203.0,Not Churned
738,Germany,Male,58,2,133745.44,4,Yes,No,28373.86,Churned
813,France,Male,29,6,0.0,1,Yes,No,33953.87,Not Churned
657,Spain,Female,37,0,163607.18,1,No,Yes,44203.55,Not Churned
604,Germany,Female,25,5,157780.84,2,Yes,Yes,58426.81,Not Churned
519,France,Male,36,9,0.0,2,No,Yes,145562.4,Not Churned
735,France,Female,21,1,178718.19,2,Yes,No,22388.0,Not Churned
664,France,Male,55,8,0.0,2,Yes,Yes,139161.64,Not Churned
678,France,Female,32,9,0.0,1,Yes,Yes,148210.64,Not Churned
757,Spain,Male,33,5,77253.22,1,No,Yes,194239.63,Not Churned
416,Germany,Female,41,10,122189.66,2,Yes,No,98301.61,Not Churned
665,France,Female,34,1,96645.54,2,No,No,171413.66,Not Churned
777,France,Female,32,2,0.0,1,Yes,No,136458.19,Churned
543,France,Female,36,3,0.0,2,No,No,26019.59,Not Churned
506,France,Female,34,4,90307.62,1,Yes,Yes,159235.29,Not Churned
493,France,Female,46,4,0.0,2,Yes,No,1907.66,Not Churned
652,Spain,Female,75,10,0.0,2,Yes,Yes,114675.75,Not Churned
750,Spain,Male,22,3,121681.82,1,Yes,No,128643.35,Churned
729,France,Male,30,9,0.0,2,Yes,No,151869.35,Not Churned
646,France,Female,46,4,0.0,3,Yes,No,93251.42,Churned
635,Germany,Female,28,3,81623.67,2,Yes,Yes,156791.36,Not Churned
647,Spain,Female,44,5,0.0,3,Yes,Yes,174205.22,Churned
808,France,Male,45,7,118626.55,2,Yes,No,147132.46,Not Churned
524,France,Female,36,10,0.0,2,Yes,No,109614.57,Not Churned
769,France,Male,29,8,0.0,2,Yes,Yes,172290.61,Not Churned
730,Spain,Male,42,4,0.0,2,No,Yes,85982.47,Not Churned
515,Spain,Male,35,10,176273.95,1,No,Yes,121277.78,Not Churned
773,Spain,Male,41,9,102827.44,1,No,Yes,64595.25,Not Churned
814,Germany,Male,29,8,97086.4,2,Yes,Yes,197276.13,Not Churned
710,Spain,Male,22,8,0.0,2,No,No,99645.04,Not Churned
413,France,Male,34,9,0.0,2,No,No,6534.18,Not Churned
665,France,Female,40,6,0.0,1,Yes,Yes,161848.03,Not Churned
623,France,Female,44,6,0.0,2,No,No,167162.43,Not Churned
738,France,Male,31,9,82674.15,1,Yes,No,41970.72,Not Churned
528,Spain,Male,36,7,0.0,2,Yes,No,60536.56,Not Churned
670,Spain,Female,65,1,0.0,1,Yes,Yes,177655.68,Churned
622,Spain,Female,46,4,107073.27,2,Yes,Yes,30984.59,Churned
582,Germany,Male,32,1,88938.62,1,Yes,Yes,10054.53,Not Churned
785,Germany,Female,36,2,99806.85,1,No,Yes,36976.52,Not Churned
605,Spain,Male,33,5,150092.8,1,No,No,71862.79,Not Churned
479,Germany,Male,35,9,92833.89,1,Yes,No,99449.86,Churned
685,Germany,Male,30,3,90536.81,1,No,Yes,63082.88,Not Churned
538,Germany,Male,39,7,108055.1,2,Yes,No,27231.26,Not Churned
562,France,Male,42,2,100238.35,1,No,No,86797.41,Not Churned
675,Spain,Male,36,9,106190.55,1,No,Yes,22994.32,Not Churned
721,Germany,Male,28,9,154475.54,2,No,Yes,101300.94,Churned
628,Germany,Female,30,9,132351.29,2,Yes,Yes,74169.13,Not Churned
668,Germany,Female,37,6,167864.4,1,Yes,No,115638.29,Not Churned
506,France,Female,41,1,0.0,2,Yes,No,31766.3,Not Churned
524,Germany,Female,31,8,107818.63,1,Yes,No,199725.39,Churned
699,Germany,Male,34,4,185173.81,2,Yes,No,120834.48,Not Churned
828,France,Male,34,8,129433.34,2,No,No,38131.77,Not Churned
674,Spain,Male,39,6,120193.42,1,No,No,100130.95,Not Churned
656,France,Female,39,6,0.0,2,Yes,No,141069.88,Not Churned
684,Germany,Female,48,10,126384.42,1,Yes,Yes,198129.36,Not Churned
625,France,Female,28,3,0.0,1,No,No,183646.41,Not Churned
432,France,Male,42,9,152603.45,1,Yes,No,110265.24,Churned
549,France,Female,52,1,0.0,1,No,Yes,8636.05,Churned
625,Germany,Male,56,0,148507.24,1,Yes,No,46824.08,Churned
828,France,Female,41,7,0.0,2,Yes,No,171378.77,Not Churned
770,France,Male,24,9,101827.07,1,Yes,No,167256.35,Not Churned
758,France,Female,34,3,0.0,2,Yes,Yes,124226.16,Not Churned
795,Germany,Female,33,9,130862.43,1,Yes,Yes,114935.21,Not Churned
687,France,Male,38,9,122570.87,1,Yes,Yes,35608.88,Not Churned
686,France,Male,25,1,0.0,2,No,Yes,16459.37,Not Churned
789,Germany,Male,39,7,124828.46,2,Yes,Yes,124411.08,Not Churned
589,Germany,Female,50,5,144895.05,2,Yes,Yes,34941.23,Not Churned
461,Germany,Female,34,5,63663.93,1,No,Yes,167784.28,Not Churned
637,France,Male,40,2,133463.1,1,No,Yes,93165.34,Not Churned
584,Spain,Female,48,2,213146.2,1,Yes,No,75161.25,Churned
579,Spain,Female,35,1,129490.36,2,No,Yes,8590.83,Churned
756,Germany,Male,44,10,137452.09,1,Yes,No,189543.9,Not Churned
663,France,Male,34,7,0.0,2,Yes,Yes,180427.24,Not Churned
682,France,Female,43,5,125851.93,1,Yes,Yes,193318.33,Not Churned
793,Spain,Male,52,2,0.0,1,Yes,No,159123.82,Churned
691,France,Female,31,5,40915.55,1,Yes,No,126213.84,Churned
485,Spain,Female,21,5,113157.22,1,Yes,Yes,54141.5,Not Churned
635,Spain,Female,29,8,138296.94,2,Yes,No,141075.51,Not Churned
650,France,Male,37,5,106967.18,1,No,No,24495.03,Not Churned
735,France,Male,44,9,120681.63,1,Yes,No,74836.34,Not Churned
416,France,Male,32,0,0.0,2,No,Yes,878.87,Not Churned
754,Spain,Female,32,7,0.0,2,Yes,No,89520.75,Not Churned
535,France,Female,48,9,0.0,1,Yes,No,149892.79,Churned
716,Spain,Male,42,8,0.0,2,Yes,No,180800.42,Not Churned
539,France,Male,37,2,127609.59,1,Yes,No,98646.22,Not Churned
614,France,Female,43,6,0.0,2,Yes,Yes,109041.53,Not Churned
706,Spain,Male,57,7,0.0,1,Yes,No,17941.16,Churned
758,France,Female,33,7,0.0,2,No,No,82996.47,Not Churned
586,Spain,Female,28,2,0.0,2,Yes,Yes,92067.35,Not Churned
646,France,Female,73,6,97259.25,1,No,Yes,104719.66,Not Churned
631,Germany,Female,33,4,123246.7,1,No,No,112687.57,Not Churned
717,Spain,Female,22,6,101060.25,1,No,Yes,84699.56,Not Churned
684,France,Male,30,2,0.0,2,Yes,No,83473.82,Not Churned
800,France,Female,49,7,108007.36,1,No,No,47125.11,Not Churned
721,Spain,Female,36,2,0.0,2,Yes,Yes,106977.8,Not Churned
683,Spain,Male,29,0,133702.89,1,Yes,No,55582.54,Churned
660,Germany,Male,31,9,125189.75,2,Yes,Yes,139874.43,Not Churned
704,Germany,Female,24,7,113034.22,1,Yes,No,162503.48,Churned
615,Spain,Female,41,9,109013.23,1,Yes,No,196499.96,Not Churned
667,Spain,Female,39,2,0.0,2,Yes,No,40721.24,Churned
682,Germany,Male,24,9,57929.81,2,No,No,53134.3,Not Churned
484,France,Female,29,4,130114.39,1,Yes,No,164017.89,Not Churned
628,Germany,Male,27,5,95826.49,2,Yes,No,155996.96,Not Churned
480,Germany,Male,44,10,129608.57,1,Yes,No,5472.7,Churned
578,France,Male,30,4,169462.09,1,Yes,No,112187.11,Not Churned
512,France,Male,40,5,0.0,2,Yes,Yes,146457.83,Not Churned
484,Spain,Female,35,7,133868.21,1,Yes,Yes,27286.1,Not Churned
510,France,Female,30,0,0.0,2,Yes,Yes,130553.47,Not Churned
606,Germany,Male,36,5,190479.48,2,No,No,179351.89,Not Churned
597,Spain,Female,40,8,101993.12,1,No,Yes,94774.12,Not Churned
754,Germany,Female,55,3,161608.81,1,Yes,No,8080.85,Churned
850,Spain,Female,45,2,122311.21,1,Yes,Yes,19482.5,Not Churned
510,France,Male,65,2,0.0,2,Yes,Yes,48071.61,Not Churned
778,Germany,Female,45,1,162150.42,2,Yes,No,174531.27,Not Churned
636,France,Male,42,2,0.0,2,Yes,Yes,55470.78,Not Churned
804,France,Female,50,4,0.0,1,Yes,Yes,8546.87,Churned
514,France,Male,32,8,0.0,2,Yes,No,95857.18,Not Churned
730,France,Female,39,1,99010.67,1,Yes,No,194945.8,Not Churned
525,Spain,Female,37,0,0.0,1,No,Yes,131521.72,Not Churned
616,Spain,Male,30,5,0.0,2,No,Yes,196108.51,Not Churned
687,Germany,Female,34,7,111388.18,2,Yes,No,148564.76,Not Churned
715,France,Female,41,8,56214.85,2,No,No,92982.61,Churned
512,France,Female,36,3,84327.77,2,Yes,No,17675.36,Not Churned
479,France,Male,40,1,0.0,2,No,No,114996.43,Not Churned
601,France,Male,32,8,93012.89,1,Yes,No,86957.42,Not Churned
580,Spain,Male,29,9,61710.44,2,Yes,No,128077.8,Not Churned
807,France,Male,35,3,174790.15,1,Yes,Yes,600.36,Not Churned
616,Spain,Female,32,6,0.0,2,Yes,Yes,43001.46,Not Churned
721,Germany,Male,37,3,107720.64,1,Yes,Yes,158591.12,Not Churned
501,France,Male,57,10,0.0,2,Yes,Yes,47847.19,Not Churned
521,France,Male,35,6,96423.84,1,Yes,No,10488.44,Not Churned
850,Spain,Male,30,2,141040.01,1,Yes,Yes,5978.2,Not Churned
759,France,Male,42,4,105420.18,1,No,Yes,121409.06,Not Churned
516,Spain,Male,50,5,0.0,1,No,Yes,146145.93,Churned
711,France,Female,38,2,129022.06,2,Yes,Yes,14374.86,Churned
512,Spain,Male,33,3,176666.62,1,Yes,No,94670.77,Not Churned
550,France,Male,37,3,0.0,1,Yes,Yes,179670.31,Not Churned
608,Spain,Female,41,3,89763.84,1,No,No,199304.74,Churned
618,France,Male,34,5,134954.53,1,Yes,Yes,151954.39,Not Churned
643,France,Male,45,5,0.0,1,Yes,No,142513.5,Churned
671,France,Male,45,2,106376.85,1,No,Yes,158264.62,Not Churned
689,Germany,Male,33,2,161814.64,2,Yes,No,169381.9,Not Churned
603,France,Male,31,8,0.0,2,Yes,Yes,169915.02,Not Churned
620,France,Female,41,9,0.0,2,No,No,88852.47,Not Churned
676,France,Female,34,1,63095.01,1,Yes,Yes,40645.81,Not Churned
572,Germany,Male,26,4,118287.01,2,No,No,60427.3,Not Churned
668,Germany,Male,47,7,106854.21,1,No,Yes,157959.02,Churned
695,France,Male,46,7,49512.55,1,Yes,No,133007.34,Not Churned
730,Spain,Female,33,9,0.0,2,No,No,176576.62,Not Churned
807,France,Male,43,1,105799.32,2,Yes,No,34888.04,Churned
592,France,Male,54,8,0.0,1,Yes,Yes,28737.71,Churned
726,France,Female,31,9,114722.05,2,Yes,Yes,98178.57,Not Churned
514,Spain,Male,30,7,0.0,1,No,Yes,125010.24,Not Churned
567,France,Male,42,2,0.0,2,Yes,Yes,167984.61,Not Churned
850,France,Male,33,10,0.0,1,Yes,No,4861.72,Churned
671,Germany,Male,45,6,99564.22,1,Yes,Yes,108872.45,Churned
670,France,Male,37,4,170557.91,2,Yes,No,198252.88,Not Churned
694,France,Female,30,9,0.0,2,Yes,Yes,26960.31,Not Churned
547,Germany,Female,39,6,74596.15,3,Yes,Yes,85746.52,Churned
751,Germany,Male,50,2,96888.39,1,Yes,No,77206.25,Churned
594,Germany,Female,29,3,130830.22,1,Yes,No,61048.53,Not Churned
673,France,Male,72,1,0.0,2,No,Yes,111981.19,Not Churned
610,France,Male,40,0,0.0,2,Yes,No,62232.6,Not Churned
512,France,Female,37,1,0.0,2,No,Yes,156105.03,Not Churned
767,Germany,Male,20,3,119714.25,2,No,Yes,150135.38,Not Churned
585,France,Female,67,5,113978.97,2,No,Yes,93146.11,Not Churned
763,Germany,Male,42,6,100160.75,1,Yes,No,33462.94,Churned
712,France,Female,29,2,0.0,1,Yes,Yes,144375.0,Not Churned
539,Germany,Female,43,3,116220.5,3,Yes,No,55803.96,Churned
668,France,Female,46,2,0.0,3,Yes,No,89048.46,Churned
703,France,Male,28,2,81173.83,2,No,Yes,162812.16,Not Churned
662,Spain,Male,38,4,0.0,2,Yes,No,136259.65,Not Churned
725,Germany,Female,39,5,116803.8,1,Yes,No,124052.97,Not Churned
703,France,Male,37,8,105961.68,2,No,Yes,74158.8,Not Churned
659,Germany,Male,67,6,117411.6,1,Yes,Yes,45071.09,Churned
523,Spain,Male,34,7,0.0,2,Yes,No,62030.06,Not Churned
635,France,Female,40,10,123497.58,1,Yes,No,131953.23,Churned
772,Germany,Male,26,7,152400.51,2,Yes,No,79414.0,Not Churned
545,France,Female,26,1,0.0,2,Yes,Yes,199638.56,Not Churned
634,Germany,Male,24,8,103097.85,1,Yes,Yes,157577.29,Not Churned
739,Germany,Male,54,8,126418.14,1,Yes,No,134420.75,Churned
771,Germany,Female,36,5,77846.9,1,No,No,99805.99,Not Churned
587,Spain,Female,34,1,0.0,2,Yes,Yes,97932.68,Not Churned
681,France,Female,79,0,0.0,2,No,Yes,170968.99,Not Churned
544,Germany,Male,37,2,79731.91,1,Yes,Yes,57558.95,Not Churned
696,Spain,Male,28,8,0.0,1,No,No,176713.47,Not Churned
766,Spain,Male,41,0,0.0,2,No,Yes,34283.23,Not Churned
727,France,Male,34,10,0.0,2,Yes,Yes,198637.34,Not Churned
671,Germany,Female,34,6,37266.67,2,No,No,156917.12,Not Churned
693,France,Female,30,6,127992.25,1,Yes,Yes,50457.2,Not Churned
850,Germany,Male,38,3,54901.01,1,Yes,Yes,140075.55,Not Churned
732,Germany,Male,42,9,108748.08,2,Yes,Yes,65323.11,Not Churned
726,Spain,Female,48,6,99906.19,1,Yes,No,64323.24,Not Churned
557,France,Female,32,6,184686.41,2,Yes,No,14956.44,Not Churned
682,France,Female,26,0,110654.02,1,No,Yes,111879.21,Not Churned
738,Spain,Male,31,9,79019.8,1,Yes,Yes,18606.23,Not Churned
531,Spain,Female,36,9,99240.51,1,Yes,No,123137.01,Not Churned
498,France,Male,34,2,0.0,2,Yes,Yes,148528.24,Not Churned
651,France,Male,36,7,0.0,2,Yes,No,13898.31,Not Churned
549,Spain,Female,39,7,0.0,1,No,No,81259.25,Churned
791,Germany,Female,35,7,52436.2,1,Yes,No,161051.75,Not Churned
650,Spain,Male,41,9,0.0,2,No,Yes,191599.67,Not Churned
733,Germany,Male,34,3,100337.96,3,Yes,No,48559.19,Churned
811,Germany,Female,34,1,149297.19,2,Yes,Yes,186339.74,Not Churned
707,France,Male,30,8,0.0,2,Yes,No,33159.37,Not Churned
712,Germany,Male,28,4,145605.44,1,No,Yes,93883.53,Not Churned
706,Spain,Female,37,7,0.0,2,Yes,Yes,110899.3,Not Churned
756,France,Male,62,3,0.0,1,Yes,Yes,11199.04,Churned
777,France,Female,53,10,0.0,2,Yes,No,189992.97,Not Churned
646,France,Male,35,6,84026.86,1,No,Yes,164255.69,Not Churned
714,France,Male,46,1,0.0,1,Yes,No,152167.79,Churned
782,France,Male,39,8,0.0,2,Yes,Yes,33949.67,Not Churned
775,Spain,Male,29,10,0.0,2,Yes,Yes,68143.93,Not Churned
479,Germany,Male,35,4,138718.92,1,Yes,Yes,47251.79,Churned
807,France,Male,42,7,118274.71,1,Yes,Yes,25885.72,Not Churned
799,France,Female,22,8,174185.98,2,No,Yes,192633.85,Not Churned
675,France,Male,40,7,113208.86,2,Yes,No,34577.36,Not Churned
602,Spain,Male,29,5,103907.28,1,Yes,No,161229.84,Not Churned
475,France,Female,32,8,119023.28,1,Yes,No,100816.29,Not Churned
744,Spain,Female,26,5,166297.89,1,Yes,Yes,181694.44,Not Churned
588,Spain,Male,34,10,0.0,2,Yes,No,79078.91,Not Churned
703,Germany,Male,42,9,63227.0,1,No,Yes,137316.32,Not Churned
747,Spain,Female,41,5,94521.17,2,Yes,No,194926.86,Not Churned
583,France,Male,27,7,0.0,2,Yes,No,51285.49,Not Churned
750,Spain,Female,34,9,112822.26,1,No,No,150401.53,Churned
681,France,Male,38,3,0.0,2,Yes,Yes,112491.96,Not Churned
773,France,Male,25,2,135903.33,1,Yes,No,73656.38,Not Churned
714,France,Female,31,4,125169.26,1,Yes,Yes,106636.89,Not Churned
687,Spain,Female,44,7,0.0,3,Yes,No,155853.52,Churned
511,France,Male,58,0,149117.31,1,Yes,Yes,162599.51,Not Churned
627,France,Male,33,5,0.0,2,Yes,Yes,103737.82,Not Churned
694,France,Female,31,10,0.0,2,Yes,No,160990.27,Not Churned
616,Spain,Female,36,6,132311.71,1,No,No,15462.84,Not Churned
687,France,Male,35,8,0.0,2,Yes,No,10334.05,Not Churned
712,France,Female,33,6,0.0,2,Yes,Yes,190686.16,Not Churned
553,France,Male,33,4,118082.89,1,No,No,94440.45,Not Churned
667,France,Male,31,1,119266.69,1,Yes,Yes,28257.63,Not Churned
731,France,Male,43,2,0.0,1,Yes,Yes,170034.95,Churned
629,Germany,Male,35,7,156847.29,2,Yes,No,31824.29,Not Churned
614,France,Male,50,4,137104.47,1,Yes,No,127166.49,Churned
438,Germany,Male,31,8,78398.69,1,Yes,No,44937.01,Not Churned
652,France,Female,80,4,0.0,2,Yes,Yes,188603.07,Not Churned
729,Germany,Male,30,6,63669.42,1,Yes,No,145111.37,Not Churned
642,France,Male,38,3,0.0,2,No,No,171463.83,Not Churned
806,Germany,Female,59,0,135296.33,1,Yes,No,182822.5,Not Churned
744,Spain,Male,36,2,153804.44,1,Yes,Yes,87213.33,Not Churned
474,Spain,Male,37,3,0.0,2,No,No,57175.32,Not Churned
559,France,Male,49,2,147069.78,1,Yes,No,120540.83,Churned
706,Spain,Male,42,9,0.0,2,Yes,Yes,28714.34,Not Churned
628,Spain,Female,22,3,0.0,1,Yes,No,85426.28,Not Churned
429,France,Male,24,4,95741.75,1,Yes,No,46170.75,Not Churned
525,Spain,Female,57,2,145965.33,1,Yes,Yes,64448.36,Not Churned
680,France,Female,30,8,141441.75,1,Yes,Yes,16278.97,Not Churned
749,France,Male,40,1,139290.41,1,Yes,No,182855.42,Churned
763,France,Female,31,4,0.0,2,No,No,50404.72,Not Churned
734,France,Male,30,3,0.0,2,Yes,No,107640.25,Not Churned
716,France,Male,35,4,144428.87,1,Yes,No,134132.65,Not Churned
594,France,Male,35,2,0.0,2,Yes,No,103480.69,Not Churned
644,France,Female,46,9,95441.27,1,Yes,No,108761.05,Churned
671,Germany,Male,35,1,144848.74,1,Yes,Yes,179012.3,Not Churned
664,Germany,Male,26,7,116244.14,2,Yes,Yes,95145.14,Not Churned
656,France,Male,50,7,0.0,2,No,Yes,72143.44,Not Churned
667,Spain,Female,40,1,146502.07,1,Yes,No,19162.89,Not Churned
663,Germany,Male,44,2,117028.6,2,No,Yes,144680.18,Not Churned
584,Germany,Female,30,8,112013.81,1,Yes,No,177772.03,Churned
626,Spain,Female,37,6,108269.37,1,Yes,No,5597.94,Not Churned
485,France,Male,29,7,182123.79,1,Yes,No,116828.51,Churned
659,Germany,Female,32,3,150923.74,2,No,Yes,174652.51,Not Churned
649,France,Male,33,2,0.0,2,Yes,No,2010.98,Not Churned
805,Spain,Female,39,5,165272.13,1,Yes,No,14109.85,Churned
716,Germany,Female,39,10,115301.31,1,Yes,No,43527.4,Churned
642,Germany,Female,40,6,129502.49,2,No,Yes,86099.23,Churned
659,France,Male,31,4,118342.26,1,No,No,161574.19,Not Churned
545,Spain,Female,47,5,0.0,2,Yes,Yes,38970.14,Not Churned
543,France,Male,22,8,0.0,2,No,No,127587.22,Not Churned
718,France,Female,25,7,0.0,2,Yes,No,30380.12,Not Churned
840,France,Female,43,7,0.0,2,Yes,No,90908.95,Not Churned
630,Germany,Female,34,9,106937.05,2,Yes,No,138275.01,Not Churned
643,Germany,Male,59,3,170331.37,1,Yes,Yes,32171.79,Not Churned
654,Germany,Female,32,1,114510.85,1,Yes,Yes,126143.23,Not Churned
582,France,Male,39,5,0.0,2,Yes,Yes,129892.93,Not Churned
659,Spain,Male,32,3,107594.11,2,Yes,Yes,102416.84,Not Churned
762,Spain,Male,39,2,81273.13,1,Yes,Yes,18719.67,Not Churned
568,Spain,Female,32,7,169399.6,1,Yes,No,61936.22,Not Churned
670,Spain,Male,25,6,0.0,2,Yes,Yes,78358.94,Not Churned
613,France,Female,45,1,187841.99,2,Yes,Yes,147224.27,Not Churned
539,France,Male,30,0,0.0,2,Yes,No,160979.66,Not Churned
850,Spain,Female,57,8,126776.3,2,Yes,Yes,132298.49,Not Churned
522,Spain,Male,34,9,126436.29,1,Yes,No,174248.52,Churned
737,France,Male,41,1,101960.74,1,Yes,Yes,123547.28,Not Churned
520,France,Male,58,3,0.0,2,No,Yes,32790.02,Not Churned
706,Spain,Male,28,3,0.0,2,No,Yes,181543.67,Not Churned
643,Germany,Female,45,2,150842.93,1,No,Yes,2319.96,Churned
648,France,Female,50,9,102535.57,1,Yes,Yes,189543.19,Not Churned
443,Germany,Female,29,9,99027.61,2,Yes,No,10940.4,Not Churned
640,France,Male,68,9,0.0,2,Yes,Yes,199493.38,Not Churned
628,Spain,Female,33,3,0.0,1,Yes,Yes,188193.25,Not Churned
540,Germany,Female,42,9,87271.41,2,Yes,No,172572.64,Not Churned
460,Germany,Female,35,8,102742.91,2,Yes,Yes,189339.6,Not Churned
636,Germany,Male,34,2,40105.51,2,No,Yes,53512.16,Not Churned
593,France,Female,29,2,152265.43,1,Yes,No,34004.44,Not Churned
801,Spain,Male,42,4,141947.67,1,Yes,Yes,10598.29,Not Churned
640,Germany,Female,75,1,106307.91,2,No,Yes,113428.77,Not Churned
611,Germany,Male,31,0,107884.81,2,Yes,Yes,183487.98,Not Churned
802,Germany,Male,31,1,125013.72,1,Yes,Yes,187658.09,Not Churned
717,Germany,Male,35,7,58469.37,2,Yes,Yes,172459.39,Not Churned
769,France,Female,39,8,0.0,1,No,Yes,21016.0,Not Churned
745,Germany,Male,45,10,117231.63,3,Yes,Yes,122381.02,Churned
572,Spain,Male,35,4,152390.26,1,Yes,No,128123.66,Not Churned
629,Spain,Female,30,2,34013.63,1,Yes,No,19570.63,Not Churned
687,Spain,Female,39,2,0.0,3,No,No,188150.6,Churned
483,France,Female,50,9,0.0,2,Yes,Yes,111020.24,Not Churned
690,France,Male,36,7,101583.11,2,Yes,No,123775.15,Not Churned
492,Germany,Female,30,10,77168.87,2,No,Yes,146700.22,Not Churned
709,Germany,Male,28,8,124695.72,2,Yes,No,145251.35,Not Churned
705,Germany,Male,44,3,105934.96,1,Yes,No,82463.69,Not Churned
560,France,Female,66,9,0.0,1,Yes,Yes,15928.49,Not Churned
611,Spain,Male,46,6,0.0,2,Yes,No,45886.33,Not Churned
730,Spain,Male,62,2,0.0,2,Yes,Yes,186489.95,Not Churned
